longitude,latitude,track_location,height
141.024949,37.31656,0,14.6200817494
141.02756337,37.3166147335,0.231656660222,-6.92682997819
141.030177744,37.3166694095,0.463313319494,-6.77010595951
141.032792121,37.3167240279,0.694969977811,-6.29657601518
141.035406502,37.3167785889,0.926626635181,-6.92945920374
141.038020888,37.3168330923,1.1582832916,-8.88054632964
141.040635276,37.3168875382,1.38993994707,-10.6390893964
141.043249669,37.3169419266,1.62159660159,-11.7718700129
141.045864065,37.3169962575,1.85325325517,-13.1227972848
141.048478465,37.3170505309,2.0849099078,-14.1451159164
141.051092869,37.3171047467,2.31656655949,-14.2352192393
141.053707276,37.3171589051,2.54822321023,-14.8833110939
141.056321688,37.3172130059,2.77987986003,-16.0317056336
141.058936103,37.3172670492,3.01153650889,-17.3316366274
141.061550521,37.317321035,3.24319315681,-18.3776060587
141.064164944,37.3173749633,3.47484980379,-19.0781561541
141.06677937,37.317428834,3.70650644983,-20.0885684315
141.0693938,37.3174826473,3.93816309493,-21.2659112514
141.072008233,37.317536403,4.1698197391,-22.5311412159
141.074622671,37.3175901012,4.40147638233,-23.3640032695
141.077237112,37.3176437419,4.63313302463,-24.0281178947
141.079851556,37.317697325,4.86478966599,-25.1476958578
141.082466005,37.3177508507,5.09644630642,-26.3351561037
141.085080457,37.3178043188,5.32810294592,-27.5643277807
141.087694912,37.3178577294,5.55975958449,-29.2800437595
141.090309372,37.3179110825,5.79141622213,-31.2308054763
141.092923835,37.3179643781,6.02307285884,-33.2461864135
141.095538302,37.3180176162,6.25472949463,-35.3815335176
141.098152772,37.3180707967,6.48638612948,-37.0892333525
141.100767246,37.3181239197,6.71804276341,-37.1251115143
141.103381724,37.3181769852,6.94969939642,-37.3401658896
141.105996206,37.3182299932,7.18135602851,-37.9930328126
141.108610691,37.3182829436,7.41301265966,-38.560666843
141.111225179,37.3183358366,7.6446692899,-39.4005600916
141.113839672,37.318388672,7.87632591923,-40.7248230756
141.116454168,37.3184414499,8.10798254763,-41.4378885394
141.119068667,37.3184941703,8.33963917511,-42.2032640693
141.121683171,37.3185468331,8.57129580167,-44.1744412997
141.124297678,37.3185994384,8.80295242732,-45.8299898228
141.126912188,37.3186519862,9.03460905205,-46.9437518681
141.129526702,37.3187044765,9.26626567587,-46.8905323937
141.13214122,37.3187569093,9.49792229877,-47.4415737296
141.134755742,37.3188092845,9.72957892077,-49.4775358134
141.137370267,37.3188616023,9.96123554184,-51.3863765491
141.139984795,37.3189138625,10.192892162,-53.2674485679
141.142599328,37.3189660651,10.4245487813,-55.1250832632
141.145213863,37.3190182103,10.6562053996,-57.1177172229
141.147828403,37.3190702979,10.8878620171,-58.9223153532
141.150442946,37.319122328,11.1195186336,-58.8838776542
141.153057492,37.3191743006,11.3511752492,-59.432554538
141.155672043,37.3192262157,11.582831864,-61.4445314347
141.158286596,37.3192780732,11.8144884778,-63.6323510975
141.160901154,37.3193298732,12.0461450907,-66.4640043523
141.163515715,37.3193816157,12.2778017027,-70.7277259454
141.166130279,37.3194333007,12.5094583139,-73.243531295
141.168744847,37.3194849281,12.7411149241,-73.9684333783
141.171359419,37.319536498,12.9727715334,-73.2922946597
141.173973994,37.3195880104,13.2044281418,-72.6617343961
141.176588573,37.3196394653,13.4360847494,-72.6532127169
141.179203155,37.3196908626,13.667741356,-73.4252277348
141.181817741,37.3197422025,13.8993979617,-75.3361036895
141.18443233,37.3197934848,14.1310545666,-79.0651394346
141.187046923,37.3198447095,14.3627111705,-80.717326585
141.189661519,37.3198958768,14.5943677736,-80.9798795211
141.192276119,37.3199469865,14.8260243758,-81.9631200861
141.194890723,37.3199980387,15.057680977,-83.4483622304
141.19750533,37.3200490333,15.2893375774,-85.4113986856
141.20011994,37.3200999705,15.5209941769,-86.9357474776
141.202734554,37.3201508501,15.7526507756,-88.537467516
141.205349172,37.3202016721,15.9843073733,-90.595893361
141.207963793,37.3202524367,16.2159639701,-91.5207831423
141.210578417,37.3203031437,16.4476205661,-92.0466291337
141.213193045,37.3203537932,16.6792771612,-93.7556609365
141.215807677,37.3204043852,16.9109337554,-96.300884083
141.218422312,37.3204549196,17.1425903487,-99.4457503368
141.22103695,37.3205053965,17.3742469412,-102.021187151
141.223651592,37.3205558159,17.6059035327,-103.295265315
141.226266238,37.3206061778,17.8375601234,-102.431947406
141.228880887,37.3206564821,18.0692167132,-104.170499513
141.231495539,37.3207067289,18.3008733022,-106.853673977
141.234110195,37.3207569182,18.5325298902,-107.458128497
141.236724854,37.3208070499,18.7641864774,-107.871256079
141.239339517,37.3208571241,18.9958430637,-108.458886597
141.241954183,37.3209071408,19.2274996492,-109.972553548
141.244568853,37.3209571,19.4591562337,-111.585400787
141.247183526,37.3210070016,19.6908128175,-112.854783883
141.249798203,37.3210568457,19.9224694003,-113.123249654
141.252412883,37.3211066323,20.1541259823,-113.047365965
141.255027566,37.3211563613,20.3857825634,-113.40830779
141.257642253,37.3212060328,20.6174391436,-115.209823096
141.260256943,37.3212556468,20.849095723,-118.008603804
141.262871637,37.3213052032,21.0807523015,-118.998130668
