x,y,height,momentum_x
250,250,14,3.07726e-16
750,250,14,1.56911e-14
1250,250,14,3.92491e-13
1750,250,14,6.41945e-12
2250,250,14,7.72097e-11
2750,250,14,7.28183e-10
3250,250,14,5.6078e-09
3750,250,14,3.62593e-08
4250,250,14,2.00881e-07
4750,250,14,9.68382e-07
5250,250,14,4.11154e-06
5750,250,14,1.55255e-05
6250,250,14,5.25596e-05
6750,250,14,0.000160596
7250,250,13.9999,0.000445424
7750,250,13.9998,0.00112697
8250,250,13.9995,0.00261241
8750,250,13.9988,0.00556997
9250,250,13.9974,0.0109624
9750,250,13.9947,0.019984
10250,250,13.9901,0.033856
10750,250,13.9827,0.0534867
11250,250,13.9713,0.079081
11750,250,13.9552,0.10985
12250,250,13.9335,0.143972
12750,250,13.9058,0.178874
13250,250,13.8724,0.21176
13750,250,13.8336,0.240214
14250,250,13.7903,0.262664
14750,250,13.7437,0.278563
15250,250,13.6948,0.288287
15750,250,13.6446,0.292827
16250,250,13.5939,0.293425
16750,250,13.5431,0.29127
17250,250,13.4929,0.287317
17750,250,13.4433,0.282233
18250,250,13.3946,0.276426
18750,250,13.3468,0.270114
19250,250,13.3001,0.263393
19750,250,13.2546,0.256289
20250,250,13.2102,0.248794
20750,250,13.1671,0.240882
21250,250,13.1254,0.232514
21750,250,13.0851,0.223643
22250,250,13.0464,0.214213
22750,250,13.0094,0.204152
23250,250,12.9742,0.193372
23750,250,12.9408,0.181762
24250,250,12.9013,0.169227
24750,250,11.9457,0.161366
25250,250,0.51345,0.7
25750,250,0.51345,0.7
26250,250,0.51345,0.7
26750,250,0.51345,0.7
27250,250,0.51345,0.7
27750,250,0.51345,0.7
28250,250,0.51345,0.7
28750,250,0.51345,0.7
29250,250,0.51345,0.7
29750,250,0.51345,0.7
30250,250,0.51345,0.7
30750,250,0.51345,0.7
31250,250,0.51345,0.7
31750,250,0.51345,0.7
32250,250,0.51345,0.7
32750,250,0.51345,0.7
33250,250,0.51345,0.7
33750,250,0.51345,0.7
34250,250,0.51345,0.7
34750,250,0.51345,0.7
35250,250,0.51345,0.7
35750,250,0.51345,0.7
36250,250,0.51345,0.7
36750,250,0.51345,0.7
37250,250,0.51345,0.7
37750,250,0.51345,0.7
38250,250,0.51345,0.7
38750,250,0.513451,0.699998
39250,250,0.513456,0.699994
39750,250,0.513473,0.699976
40250,250,0.513531,0.699918
40750,250,0.513715,0.69974
41250,250,0.514264,0.699234
41750,250,0.515778,0.6979
42250,250,0.519683,0.694597
42750,250,0.529097,0.686874
43250,250,0.550273,0.669724
43750,250,0.59433,0.633964
44250,250,0.67756,0.566574
44750,250,0.817128,0.458682
45250,250,1.02147,0.320872
45750,250,1.28242,0.186208
46250,250,1.57801,0.0871487
46750,250,1.88418,0.0322567
47250,250,2.18458,0.00925115
47750,250,2.47219,0.001991
48250,250,2.74599,0.000303642
48750,250,3.00732,2.93256e-05
49250,250,3.2578,1.3506e-06
49750,250,3.5,6.20572e-16
