x,y,height,momentum_x
0.25,0.25,5,0
0.75,0.25,5,0
1.25,0.25,5,0
1.75,0.25,5,0
2.25,0.25,5,0
2.75,0.25,5,0
3.25,0.25,5,0
3.75,0.25,5,0
4.25,0.25,5,0
4.75,0.25,5,0
5.25,0.25,5,0
5.75,0.25,5,0
6.25,0.25,5,0
6.75,0.25,5,0
7.25,0.25,5,0
7.75,0.25,5,0
8.25,0.25,5,0
8.75,0.25,5,0
9.25,0.25,5,0
9.75,0.25,5,0
10.25,0.25,5,0
10.75,0.25,5,0
11.25,0.25,5,0
11.75,0.25,5,0
12.25,0.25,5,0
12.75,0.25,5,0
13.25,0.25,5,0
13.75,0.25,5,0
14.25,0.25,5,0
14.75,0.25,5,0
15.25,0.25,5,0
15.75,0.25,5,0
16.25,0.25,5,0
16.75,0.25,5,0
17.25,0.25,5,0
17.75,0.25,5,0
18.25,0.25,5,0
18.75,0.25,5,0
19.25,0.25,5,0
19.75,0.25,5,0
20.25,0.25,5,0
20.75,0.25,5,0
21.25,0.25,5,0
21.75,0.25,5,0
22.25,0.25,5,0
22.75,0.25,5,0
23.25,0.25,5,0
23.75,0.25,5,0
24.25,0.25,5,0
24.75,0.25,5,0
25.25,0.25,5,0
25.75,0.25,5,0
26.25,0.25,5,0
26.75,0.25,5,0
27.25,0.25,5,0
27.75,0.25,5,0
28.25,0.25,5,0
28.75,0.25,5,0
29.25,0.25,5,0
29.75,0.25,5,0
30.25,0.25,5,0
30.75,0.25,5,0
31.25,0.25,5,0
31.75,0.25,5,0
32.25,0.25,5,0
32.75,0.25,5,0
33.25,0.25,5,0
33.75,0.25,5,0
34.25,0.25,5,0
34.75,0.25,5,0
35.25,0.25,5,0
35.75,0.25,5,0
36.25,0.25,5,0
36.75,0.25,5,0
37.25,0.25,5,0
37.75,0.25,5,0
38.25,0.25,5,0
38.75,0.25,5,0
39.25,0.25,5,0
39.75,0.25,5,0
40.25,0.25,10,0
40.75,0.25,10,0
41.25,0.25,10,0
41.75,0.25,10,0
42.25,0.25,10,0
42.75,0.25,10,0
43.25,0.25,10,0
43.75,0.25,10,0
44.25,0.25,10,0
44.75,0.25,10,0
45.25,0.25,10,0
45.75,0.25,10,0
46.25,0.25,10,0
46.75,0.25,10,0
47.25,0.25,10,0
47.75,0.25,10,0
48.25,0.25,10,0
48.75,0.25,10,0
49.25,0.25,10,0
49.75,0.25,10,0
50.25,0.25,10,0
50.75,0.25,10,0
51.25,0.25,10,0
51.75,0.25,10,0
52.25,0.25,10,0
52.75,0.25,10,0
53.25,0.25,10,0
53.75,0.25,10,0
54.25,0.25,10,0
54.75,0.25,10,0
55.25,0.25,10,0
55.75,0.25,10,0
56.25,0.25,10,0
56.75,0.25,10,0
57.25,0.25,10,0
57.75,0.25,10,0
58.25,0.25,10,0
58.75,0.25,10,0
59.25,0.25,10,0
59.75,0.25,10,0
60.25,0.25,5,0
60.75,0.25,5,0
61.25,0.25,5,0
61.75,0.25,5,0
62.25,0.25,5,0
62.75,0.25,5,0
63.25,0.25,5,0
63.75,0.25,5,0
64.25,0.25,5,0
64.75,0.25,5,0
65.25,0.25,5,0
65.75,0.25,5,0
66.25,0.25,5,0
66.75,0.25,5,0
67.25,0.25,5,0
67.75,0.25,5,0
68.25,0.25,5,0
68.75,0.25,5,0
69.25,0.25,5,0
69.75,0.25,5,0
70.25,0.25,5,0
70.75,0.25,5,0
71.25,0.25,5,0
71.75,0.25,5,0
72.25,0.25,5,0
72.75,0.25,5,0
73.25,0.25,5,0
73.75,0.25,5,0
74.25,0.25,5,0
74.75,0.25,5,0
75.25,0.25,5,0
75.75,0.25,5,0
76.25,0.25,5,0
76.75,0.25,5,0
77.25,0.25,5,0
77.75,0.25,5,0
78.25,0.25,5,0
78.75,0.25,5,0
79.25,0.25,5,0
79.75,0.25,5,0
80.25,0.25,5,0
80.75,0.25,5,0
81.25,0.25,5,0
81.75,0.25,5,0
82.25,0.25,5,0
82.75,0.25,5,0
83.25,0.25,5,0
83.75,0.25,5,0
84.25,0.25,5,0
84.75,0.25,5,0
85.25,0.25,5,0
85.75,0.25,5,0
86.25,0.25,5,0
86.75,0.25,5,0
87.25,0.25,5,0
87.75,0.25,5,0
88.25,0.25,5,0
88.75,0.25,5,0
89.25,0.25,5,0
89.75,0.25,5,0
90.25,0.25,5,0
90.75,0.25,5,0
91.25,0.25,5,0
91.75,0.25,5,0
92.25,0.25,5,0
92.75,0.25,5,0
93.25,0.25,5,0
93.75,0.25,5,0
94.25,0.25,5,0
94.75,0.25,5,0
95.25,0.25,5,0
95.75,0.25,5,0
96.25,0.25,5,0
96.75,0.25,5,0
97.25,0.25,5,0
97.75,0.25,5,0
98.25,0.25,5,0
98.75,0.25,5,0
99.25,0.25,5,0
99.75,0.25,5,0
