x,y,height,momentum_x
250,250,13.8795,0.163237
750,250,13.8497,0.185027
1250,250,13.8162,0.205053
1750,250,13.7794,0.222633
2250,250,13.7398,0.237305
2750,250,13.6978,0.248846
3250,250,13.6541,0.257257
3750,250,13.6091,0.262721
4250,250,13.5633,0.265548
4750,250,nan,nan
5250,250,nan,nan
5750,250,nan,nan
6250,250,nan,nan
6750,250,nan,nan
7250,250,nan,nan
7750,250,nan,nan
8250,250,nan,nan
8750,250,nan,nan
9250,250,nan,nan
9750,250,nan,nan
10250,250,nan,nan
10750,250,nan,nan
11250,250,nan,nan
11750,250,nan,nan
12250,250,nan,nan
12750,250,nan,nan
13250,250,nan,nan
13750,250,nan,nan
14250,250,nan,nan
14750,250,nan,nan
15250,250,nan,nan
15750,250,nan,nan
16250,250,nan,nan
16750,250,nan,nan
17250,250,nan,nan
17750,250,nan,nan
18250,250,nan,nan
18750,250,nan,nan
19250,250,nan,nan
19750,250,nan,nan
20250,250,nan,nan
20750,250,nan,nan
21250,250,nan,nan
21750,250,nan,nan
22250,250,nan,nan
22750,250,nan,nan
23250,250,nan,nan
23750,250,nan,nan
24250,250,nan,nan
24750,250,nan,nan
25250,250,nan,nan
25750,250,nan,nan
26250,250,nan,nan
26750,250,nan,nan
27250,250,nan,nan
27750,250,nan,nan
28250,250,nan,nan
28750,250,nan,nan
29250,250,nan,nan
29750,250,nan,nan
30250,250,nan,nan
30750,250,nan,nan
31250,250,nan,nan
31750,250,nan,nan
32250,250,nan,nan
32750,250,nan,nan
33250,250,nan,nan
33750,250,nan,nan
34250,250,nan,nan
34750,250,nan,nan
35250,250,nan,nan
35750,250,nan,nan
36250,250,nan,nan
36750,250,nan,nan
37250,250,nan,nan
37750,250,nan,nan
38250,250,nan,nan
38750,250,nan,nan
39250,250,nan,nan
39750,250,nan,nan
40250,250,nan,nan
40750,250,nan,nan
41250,250,nan,nan
41750,250,nan,nan
42250,250,nan,nan
42750,250,nan,nan
43250,250,nan,nan
43750,250,nan,nan
44250,250,nan,nan
44750,250,0.101907,0.0846229
45250,250,0.713354,0.00657753
45750,250,1.15751,0.000773919
46250,250,1.5343,8.88443e-05
46750,250,1.87147,9.03577e-06
47250,250,2.18161,7.69962e-07
47750,250,2.47165,5.21051e-08
48250,250,2.74592,2.60794e-09
48750,250,3.00731,8.55068e-11
49250,250,3.2578,1.37472e-12
49750,250,3.5,-6.48228e-18
